especes;LON;LAT
Raies ;5.29057866;42.59393153
Myliobatis aquila;5.308920695;42.58086469
Raies ;7.292813994;43.05058834
Raies ;8.4735136;42.7309654
Mobula mobular;7.877002973;42.75403221
Mobula mobular;7.465800717;41.7777792
Raies ;6.894156765;42.58785104
Mobula mobular;6.988214208;42.54509219
Mobula mobular;6.864818512;43.14280273
Mobula mobular;8.2987594;42.4834124
Raies ;8.2984984;42.4834705
Mobula mobular;6.040215343;42.7278621
Raies ;5.902584577;42.73688887
Mobula mobular;6.643649004;42.6396209
Myliobatis aquila;6.687062904;42.70502402
Mobula mobular;6.786845606;42.69884944
Requins;7.371875709;43.19175954
Raies ;7.427808149;43.15784636
Mobula mobular;6.665788377;42.83151494
Raies ;6.643308867;43.00016566
Requins;7.247133292;43.33455234
Mobula mobular;7.328776466;43.1380416
Mobula mobular;7.248849068;43.1137355
Raies ;7.184568588;43.07011218
Mobula mobular;7.189466385;43.06919667
Raies ;5.472629154;43.09125432
Raies ;3.157399893;42.4742296
Raies ;7.056501405;42.89283543
Raies ;7.206722377;43.34041129
Raies ;6.924914159;43.10442216
Raies ;6.913569001;43.10008423
Raies ;3.406748772;43.28832729
Myliobatis aquila;5.243306318;42.95302068
Requins;5.476300847;43.10042425
Requins;5.456553586;43.06198224
Requins;5.416421453;42.95025671
Requins;8.559372621;42.63446075
Prionace glauca;8.539039632;42.62275798
Mobula mobular;6.362973349;42.86794156
Raies ;6.12805333;43.04640003
Mobula mobular;8.300535511;43.10509116
Mobula mobular;5.695809312;42.92136861
Raies ;5.937973475;42.95103463
Mobula mobular;5.93846214;42.95759829
Raies ;6.083299164;42.85995578
Raies ;6.63505001;42.84733624
Raies ;5.207756655;42.92438936
Myliobatis aquila;4.76482437;42.99317365
Mobula mobular;8.8275069;41.6539451
Raies ;6.127784774;43.04577743
Raies ;5.675071981;43.15399433
Raies ;7.555039196;43.3261655
Requins;5.577925891;42.94395322
Requins;8.567238618;42.72830454
Raies ;20.72167608;38.84713078
Mobula mobular;6.02;42.91972222
Mobula mobular;8.149268;42.906863
Mobula mobular;10.174028;41.639278
Mobula mobular;10.075192;41.627712
Mobula mobular;10.045698;41.625882
Mobula mobular;9.894722;41.599807
Mobula mobular;10.238625;41.482428
